DS,Size,Op,OpCount,Cache,Misses
SortedList,10000,Add,10000,Ir,194571471
SortedList,10000,Add,10000,I1mr,455853
SortedList,10000,Add,10000,ILmr,17
SortedList,10000,Add,10000,Dr,55445406
SortedList,10000,Add,10000,D1mr,474669
SortedList,10000,Add,10000,DLmr,0
SortedList,10000,Add,10000,Dw,27124416
SortedList,10000,Add,10000,D1mw,62311
SortedList,10000,Add,10000,DLmw,5181
SortedList,10000,Select,10000,Ir,204066682
SortedList,10000,Select,10000,I1mr,357302
SortedList,10000,Select,10000,ILmr,53
SortedList,10000,Select,10000,Dr,59843295
SortedList,10000,Select,10000,D1mr,117513
SortedList,10000,Select,10000,DLmr,9
SortedList,10000,Select,10000,Dw,25319815
SortedList,10000,Select,10000,D1mw,394
SortedList,10000,Select,10000,DLmw,12
SortedList,100000,Add,10000,Ir,203917498
SortedList,100000,Add,10000,I1mr,461724
SortedList,100000,Add,10000,ILmr,37
SortedList,100000,Add,10000,Dr,57485624
SortedList,100000,Add,10000,D1mr,557925
SortedList,100000,Add,10000,DLmr,1654
SortedList,100000,Add,10000,Dw,27581206
SortedList,100000,Add,10000,D1mw,58402
SortedList,100000,Add,10000,DLmw,6569
SortedList,100000,Select,10000,Ir,242616203
SortedList,100000,Select,10000,I1mr,410453
SortedList,100000,Select,10000,ILmr,57
SortedList,100000,Select,10000,Dr,70399796
SortedList,100000,Select,10000,D1mr,183422
SortedList,100000,Select,10000,DLmr,63
SortedList,100000,Select,10000,Dw,28983852
SortedList,100000,Select,10000,D1mw,173
SortedList,100000,Select,10000,DLmw,100
SortedList,1000000,Add,10000,Ir,201282052
SortedList,1000000,Add,10000,I1mr,449133
SortedList,1000000,Add,10000,ILmr,156
SortedList,1000000,Add,10000,Dr,57631440
SortedList,1000000,Add,10000,D1mr,617194
SortedList,1000000,Add,10000,DLmr,20290
SortedList,1000000,Add,10000,Dw,28236812
SortedList,1000000,Add,10000,D1mw,66273
SortedList,1000000,Add,10000,DLmw,6466
SortedList,1000000,Select,10000,Ir,271852866
SortedList,1000000,Select,10000,I1mr,415100
SortedList,1000000,Select,10000,ILmr,450
SortedList,1000000,Select,10000,Dr,79797452
SortedList,1000000,Select,10000,D1mr,286544
SortedList,1000000,Select,10000,DLmr,5931
SortedList,1000000,Select,10000,Dw,33136202
SortedList,1000000,Select,10000,D1mw,14545
SortedList,1000000,Select,10000,DLmw,1611
SortedList,10000000,Add,10000,Ir,203207676
SortedList,10000000,Add,10000,I1mr,452162
SortedList,10000000,Add,10000,ILmr,124
SortedList,10000000,Add,10000,Dr,58486423
SortedList,10000000,Add,10000,D1mr,565220
SortedList,10000000,Add,10000,DLmr,16791
SortedList,10000000,Add,10000,Dw,28736364
SortedList,10000000,Add,10000,D1mw,56071
SortedList,10000000,Add,10000,DLmw,6470
SortedList,10000000,Select,10000,Ir,330543823
SortedList,10000000,Select,10000,I1mr,414958
SortedList,10000000,Select,10000,ILmr,485
SortedList,10000000,Select,10000,Dr,96548460
SortedList,10000000,Select,10000,D1mr,378830
SortedList,10000000,Select,10000,DLmr,50871
SortedList,10000000,Select,10000,Dw,39548173
SortedList,10000000,Select,10000,D1mw,7843
SortedList,10000000,Select,10000,DLmw,15217
SortedArray,10000,Add,10000,Ir,191342945
SortedArray,10000,Add,10000,I1mr,466057
